Start_Latitude,Start_Longitude,Start_Z,End_Latitude,End_Longitude,End_Z
45.903632556743354,11.02820056281265,224.8436,45.90429371673364,11.02869840315925,224.8948
45.904334926738024,11.02850013301017,225.3589,45.90363105674842,11.027968482640023,225.2768
45.90361356674359,11.02818824280417,224.8351,45.90356614674433,11.028150622777892,224.8463
45.90389376674177,11.028293362872251,225.0411,45.903552596746884,11.028032062690166,225.0846
45.9036493667466,11.028053032702267,225.1685,45.9036136367471,11.028026322683687,225.1858
45.904334136737646,11.028517383023036,225.3273,45.90360872674833,11.027969942641917,225.2916
45.90374751674511,11.028128402754792,225.1545,45.90370846674573,11.028097402733138,225.1699
45.903843606743756,11.028198982803834,225.1669,45.9038038567443,11.028170792784294,225.1555
45.903936466742344,11.028270332853566,225.1669,45.903899816742914,11.028242582834244,225.1762
45.90393753674115,11.028326112895039,225.0599,45.90391441674152,11.02830670288143,225.0598
45.903986066740465,11.028361052919287,225.0715,45.90396130674078,11.02834424290767,225.0668
45.90403253674092,11.028343302904393,225.1744,45.9039961067415,11.028314092883974,225.183
45.904006476740115,11.02837828293137,225.0708,45.90403169673972,11.028397842945013,225.0703
45.904080916739055,11.028432642969133,225.0706,45.90405496673941,11.028414572956622,225.0688
45.90412970673952,11.028415422954549,225.201,45.9040916167401,11.028386652934515,225.1867
45.904126676738365,11.028468442994123,225.0897,45.90410179673875,11.02844886298045,225.0789
45.90418217673757,11.02850968302281,225.0975,45.90415031673802,11.02848661300679,225.0937
45.90422607673805,11.028490493006935,225.2249,45.904185796738695,11.028458082984269,225.2016
45.904196066737356,11.028520013029993,225.1122,45.90422018673699,11.028538513042891,225.113
45.904242946736645,11.028556463055429,225.1155,45.904268836736264,11.028576783069617,225.12
45.904314526736776,11.02855597305247,225.2416,45.90428139673725,11.028531753035642,225.2343
45.90429123673598,11.028591403079687,225.1258,45.90429496673586,11.028596253083162,225.1287
